country_name,country_code,year,stunting_pct,gdp_per_capita,undernourishment_pct,water_access_pct,female_edu_pct,political_stability
Aruba,ABW,2000,,28104.8954362859,,,91.7377166748047,
Africa Eastern and Southern,AFE,2000,45.9516009652045,1205.98105360593,,18.7462378530118,25.5485401153564,
Afghanistan,AFG,2000,55.5,308.318269746638,,11.4830526030791,,-2.8505004
Africa Western and Central,AFW,2000,39.2115609361336,1188.0373057001,,16.5612561668694,18.7828693389893,
Angola,AGO,2000,47.5,2172.46326720494,,,12.1040000915527,-2.4455505
Albania,ALB,2000,29.9,1991.91435867116,,49.1383199670447,,-1.2463975
Andorra,AND,2000,,34113.8334027285,,90.63999794705,,1.2490265
Arab World,ARB,2000,28.7027409250237,4910.08259157072,,,56.1960716247559,
United Arab Emirates,ARE,2000,,56939.2701807931,,98.1926901130339,,0.9921535
Argentina,ARG,2000,9.3,10631.6503639029,,,99.8094177246094,-0.0569482
Armenia,ARM,2000,17.1,1229.21510436102,,82.6559565910346,88.5902481079102,-0.8270133
American Samoa,ASM,2000,,,,81.9092156400375,,
Antigua and Barbuda,ATG,2000,,15961.0918359058,,,78.4783935546875,0.7054045
Australia,AUS,2000,0.9,45979.0765654048,,,,1.4286336
Austria,AUT,2000,,38571.0858780001,,96.8725407699709,,1.0727113
Azerbaijan,AZE,2000,24.3,1504.73106706035,,48.8163789077959,,-0.9438213
Burundi,BDI,2000,63.0,264.154407180223,,,,-2.50680379999999
Belgium,BEL,2000,4.0,35878.3153586195,,99.7539334647375,,1.1723761
Benin,BEN,2000,34.8,861.213292013209,,14.2088560346699,12.5444002151489,0.6165498
Burkina Faso,BFA,2000,40.4,428.309796566198,,,7.76679992675781,0.0927698
Bangladesh,BGD,2000,54.9,620.560472822105,,55.3086603889198,47.110969543457,-0.812562999999999
Bulgaria,BGR,2000,8.7,3717.92889906166,,89.5960945548963,,0.4296798
Bahrain,BHR,2000,10.8,25407.9694054552,,98.6952615840336,99.2775497436523,0.1246273
"Bahamas, The",BHS,2000,,32424.7271786716,,,,1.0532862
Bosnia and Herzegovina,BIH,2000,12.5,2567.34136989735,,87.4702696462547,,-0.757448599999999
Belarus,BLR,2000,5.4,2615.36376799462,,81.9372416838492,,0.2638464
