Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.8505004,-2.43357069999999,-2.387388,-2.1912579,-2.133959,-2.1468441,-2.3604939,-2.53508629999999,-2.4492355,-2.53097419999999,-2.5512555,-2.5040196,-2.699732,-2.3186705,-2.48125299999999,-2.4834928,-2.61393089999999,-2.5824048,-2.5893714,-2.5896897,-2.4506389,-2.4492487
Albania,ALB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.2463975,-0.6545571,-0.43559,-0.6084853,-0.6100173,-0.549163,-0.188559199999999,-0.0276847,-0.0272379,-0.1725061,-0.348045,-0.3697641,-0.1931708,0.2608816,0.1252711,0.1659701,0.1638298,0.1502032,0.00437499999999999,-0.0049854,0.0239536,0.0115425
Algeria,DZA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.6027185,-1.73402489999999,-1.6466235,-1.3060631,-0.8578446,-1.055417,-1.0604958,-0.9964923,-1.18034059999999,-1.31766989999999,-1.43622689999999,-1.2861441,-1.3382043,-1.1769102,-1.049624,-1.12458449999999,-0.929504599999999,-0.6370211,-1.06252749999999,-0.883733299999999,-0.9009933,-0.8074555
American Samoa,ASM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..,..,..,0.4095694,0.7112288,0.715717,0.99494,0.9940271,1.0047762,0.9942908,0.9847551,0.9837485,0.9806728,1.2631079,1.2607488,1.2548748,1.2555945,1.2606571,1.2471192,1.2465402,1.2442687,1.2481785
Andorra,AND,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2490265,1.2512043,1.317703,1.0449339,1.3245166,1.3279824,1.3337059,1.333001,1.3413014,1.3332046,1.3258412,1.3250639,1.3226889,1.3308928,1.3290711,1.3245352,1.3250909,1.3290002,1.5488694,1.5484064,1.5465903,1.5497163
Angola,AGO,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.4455505,-1.8157925,-1.25069229999999,-1.1591344,-0.9717695,-0.6714135,-0.7470711,-0.4713481,-0.526828899999999,-0.2720682,-0.494662599999999,-0.4414594,-0.6100776,-0.5090269,-0.5591026,-0.434627999999999,-0.537214499999999,-0.4058117,-0.420703899999999,-0.6427634,-0.7936068,-0.5414068
Anguilla,AIA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..,..,..,0.4534985,1.1812157,1.184192,1.1891071,1.1885017,1.1956297,1.5491647,1.5428413,1.5421738,1.5401343,1.2267455,1.2251811,1.221286,1.2217632,1.2251203,1.2261279,1.3857911,1.3836197,1.3873573
Antigua and Barbuda,ATG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7054045,0.7075823,0.727562,0.9658169,0.7787714,0.7812606,0.7853715,0.7848652,0.7908269,0.9357643,0.9304755,0.9299172,0.9282114,0.93921,0.9161633,0.7403626,0.614623,0.7900001,0.9169085,0.9164728,0.9147636,1.0787211
Argentina,ARG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0569482,-0.6587134,-0.2505519,-0.328465399999999,0.0832070999999999,0.0814603,0.2041085,0.0112562,-0.1847801,-0.0975562,0.1203533,0.0804879,0.0324742,-0.0132091,-0.0308863,0.1932708,0.2394066,0.1204378,0.0571577,0.0552501,0.0921998,0.0576438
Armenia,ARM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.8270133,-0.2690225,0.0578823,-0.2215046,-0.115940599999999,-0.1845154,0.1764597,-0.141342,0.1499282,0.0171223,-0.142543,0.0562514,-0.0281785,-0.2358315,-0.139264399999999,-0.3896011,-0.3015882,-0.00389009999999999,0.0683699,-0.2935835,-0.5019,-0.3556235
Aruba,ABW,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,..,..,..,0.6292149,1.3614598,1.3644361,1.3693511,1.3687458,1.3267766,1.2560673,1.251139,1.3159088,1.3143193,1.2105482,1.209329,1.2062931,1.2066651,1.3341522,1.3349374,1.3345061,1.3328137,1.3357267
Australia,AUS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.4286336,1.0955179,0.9329389,0.9065585,0.9817812,1.0119464,1.0920694,1.108084,0.9940821,1.0028093,0.9549761,0.9876022,0.9563371,1.0196126,0.8032474,0.9540785,0.7831479,0.8840942,0.8454141,0.8859397,0.8536507,0.9015353
Austria,AUT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0727113,1.2527913,1.0139604,0.9547247,1.0677694,1.0633138,1.3179972,1.3568437,1.2902477,1.2601717,1.2207577,1.3019271,1.287147,1.3377971,1.1389655,0.8951862,0.9266955,0.8440814,0.7878108,0.8186312,0.7543747,0.6005165
Azerbaijan,AZE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.9438213,-0.9031405,-0.9887094,-1.12483969999999,-1.14968919999999,-0.986625299999999,-0.586898599999999,-0.2808866,-0.351531,-0.3145012,-0.6570897,-0.683856599999999,-0.483763999999999,-0.433564,-0.4941808,-0.5043466,-0.455635299999999,-0.3567438,-0.3373117,-0.5087721,-0.4888287,-0.542048099999999
"Bahamas, The",BHS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0532862,0.8248435,0.7456716,0.6906112,0.8589463,0.7762725,0.6841232,0.7048991,0.8432738,0.9175646,0.9777309,0.9992333,0.9869744,0.8227482,0.7437356,0.7974457,0.8186672,0.7130765,0.6927555,0.7133519,0.7434332,0.8592816
Bahrain,BHR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.1246273,0.4797754,0.3424127,0.1508948,-0.0516002,-0.2753885,-0.1802755,-0.215733899999999,-0.2010092,-0.7371495,-1.1775267,-1.0354447,-1.2920542,-1.0441426,-0.9584379,-0.909807199999999,-1.0066263,-0.8677102,-0.603362,-0.5964745,-0.5041164,-0.482549599999999
Bangladesh,BGD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.812562999999999,-1.2449478,-1.2322975,-1.3285917,-1.7911255,-1.6643404,-1.5675758,-1.476262,-1.51053059999999,-1.4437712,-1.4544464,-1.4690337,-1.771799,-1.0510112,-1.331635,-1.3416192,-1.3289506,-1.02517179999999,-0.996755,-1.01518479999999,-1.0535518,-1.0954422
Barbados,BRB,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.8841689,0.8856588,0.7682747,0.9561667,1.0758617,0.9369694,1.0877484,1.16109,1.2798948,1.1818697,1.173978,1.2347483,1.216274,1.3382083,1.1290517,0.839715,0.8399905,0.8002803,0.9758945,1.0680614,1.0845669,1.2066625
Belarus,BLR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.2638464,0.3395866,0.7235293,0.0167691,0.3382598,0.1789591,0.3235627,0.443727,0.3534137,-0.0852672,-0.0818477,0.00362419999999999,0.0177012,0.1349975,0.1165415,0.2027723,0.0265511,0.2676565,0.4258145,-0.818298499999999,-0.616372399999999,-0.6168791
Belgium,BEL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1723761,1.1338998,0.8724133,0.6781943,0.8170464,0.8276559,0.8536941,0.7115581,0.9641541,0.9164492,0.9302398,0.9449853,0.9488863,0.786586,0.6581707,0.4864269,0.3647602,0.4247021,0.3774033,0.3686413,0.461917,0.2465264
Belize,BLZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0971477999999999,0.340663,0.3686073,0.2908113,0.0640729999999999,0.0840894,0.161615,0.1436564,-0.0105185,0.0218801,0.0910169,0.0905854,0.0892671,0.032488,0.0315234,0.02715,0.0274572,0.0296183,0.1334022,0.6026689,0.3568757,0.7353533
Benin,BEN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6165498,0.6190757,0.5773695,0.1768396,0.4644931,0.6060891,0.4554713,0.477051,0.4200295,0.3130091,0.3444706,0.3524209,0.3313874,0.1371161,0.117506,0.2420032,0.3155886,0.1649971,-0.197976799999999,-0.283192699999999,-0.4106645,-0.4373008
Bermuda,BMU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.7054045,0.7075823,0.702405,0.6303306,0.7721071,0.7750833,0.7799984,0.779393,0.786521,0.959812,0.9534886,0.9528211,0.9507816,0.8176369,0.8160725,0.8121773,0.8126545,0.9762284,0.977236,0.9766825,0.974511,0.9782486
Bhutan,BTN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4028657,0.5323159,0.7701516,0.8706687,1.2026354,1.021296,0.4577684,0.6582714,0.8300522,0.7505364,0.7467369,0.7756826,0.7771733,1.1573285,0.9981818,1.1113941,1.1177867,1.1151798,1.1641113,1.1154419,0.9391838,1.3224382
Bolivia,BOL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3559096,-0.345507,-0.884627699999999,-0.6014065,-0.879439099999999,-0.622095699999999,-0.632049499999999,-0.5339009,-0.2490392,-0.2159855,-0.2956719,-0.381218399999999,-0.256508,-0.2978539,-0.175327899999999,-0.2594315,-0.2207409,-0.1913596,-0.7539613,-0.3855901,-0.2859636,-0.170608899999999
Bosnia and Herzegovina,BIH,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.757448599999999,-0.337028699999999,-0.483694399999999,-0.2817497,-0.5961126,-0.3864629,-0.4799679,-0.4343012,-0.5894529,-0.6337606,-0.6699284,-0.590616799999999,-0.4534621,-0.0605189,-0.2551002,-0.3709896,-0.3110983,-0.2895156,-0.309193899999999,-0.2690285,-0.310701599999999,-0.248056399999999
Botswana,BWA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1550115,0.8510502,1.1094733,0.9068069,1.1343572,1.2166136,1.2840151,1.2464399,1.2494369,1.2771925,1.2314867,1.2248637,1.187303,1.1504977,1.1318799,0.9837653,1.0166207,0.9948159,1.1539103,1.0835182,1.0572186,1.0798421
Brazil,BRA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.3964531,0.3357229,0.1101752,-0.2198219,-0.1740759,-0.2563589,-0.2225111,-0.173844299999999,0.1161689,-0.1493446,-0.1721799,-0.0995934,-0.3656427,-0.2414052,-0.4959054,-0.5263958,-0.602133799999999,-0.645190399999999,-0.722116299999999,-0.427421599999999,-0.3922756,-0.415796899999999
Brunei Darussalam,BRN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.352238,1.0153958,1.0479687,1.0993465,1.1115893,1.1147081,1.1198586,1.1203026,1.3123741,1.2633781,0.9587232,0.901649,0.9634698,1.2566861,1.2031979,1.0333017,1.0788022,1.1449838,1.0980607,1.1645233,1.1632013,1.175984
Bulgaria,BGR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4296798,0.40517,0.1952399,0.0520694,0.3053882,0.3206462,0.3575005,0.4069274,0.3832438,0.3736482,0.3085567,0.3911291,0.1704694,0.242071,0.1823906,0.2073039,0.4061393,0.592909,0.5788167,0.4210468,0.4063981,0.3269733
Burkina Faso,BFA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0927698,-0.2134057,0.0624282,-0.1499539,0.0426849,0.1098282,0.3576735,0.1570962,-0.0035975,-0.3146407,-0.6837156,-0.6478491,-0.7949543,-0.699829399999999,-0.6795154,-0.9073878,-0.855665599999999,-0.961889999999999,-1.19570659999999,-1.4159765,-1.5801637,-1.82102069999999
Burundi,BDI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.50680379999999,-2.4576716,-2.4009377,-2.411696,-1.4998572,-1.2706416,-1.1429842,-1.4451741,-1.0572468,-1.6874837,-1.84318419999999,-1.9079102,-1.67571539999999,-1.06174299999999,-2.03645089999999,-2.106715,-2.0904201,-1.62367939999999,-1.66929629999999,-1.49526809999999,-1.37835589999999,-1.28089529999999
Cabo Verde,CPV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2012572,0.8035322,0.9080428,0.874642,0.859853,0.9522799,0.9138623,0.8489607,1.0097317,1.0110449,1.0171202,0.8408258,0.8049926,0.6455106,0.8435225,0.827822,0.7203252,0.8387813,0.8393375,0.839032,0.8339009,0.8359641
