"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9516009652045","45.5706329193374","45.1923513432922","44.7126010839685","44.1710021361531","43.579127982213","42.9102782926153","42.0938593387455","41.1582510725604","40.2153218297542","39.2984238297234","38.385414452396","37.6528048796514","37.0439900845627","36.5091962351721","36.0001760605827","35.5221794492937","35.0240342561555","34.5339554575933","34.0884937655304","33.7816944776362","33.6753030325153","33.852035676616","33.9904944943298","34.1544688019288","",
"Afghanistan","AFG","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.5","55.2","54.4","53.4","52.4","51.3","50.3","49","47.8","46.5","45.3","44.3","43.5","42.9","42.5","42.2","41.9","41.5","41.2","40.9","40.7","40.8","41.1","41.6","42","",
"Africa Western and Central","AFW","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2115609361336","39.117069600673","38.9413875936112","38.707380460239","38.3880999400323","38.0154352508688","37.6395664498974","37.1008377101835","36.4942716588827","35.801507929605","35.0228235539673","34.2985557071093","33.6676082283541","33.1305278849677","32.6679898887003","32.1874186085191","31.6737713059127","31.0898976901252","30.4881623640282","29.9196254063418","29.4525935160044","29.2494320244557","29.2738537776896","29.3537507702033","29.5109432424369","",
"Angola","AGO","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5","44.9","42.4","40","37.8","35.9","34.2","32.8","31.7","31.1","30.8","30.9","31.4","32.3","33.5","34.8","36.3","37.7","39.1","40.5","42","43.5","45.2","46.5","47.7","",
"Albania","ALB","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9","29.9","29.7","29.3","28.5","27.5","26.1","24.5","22.8","21","19.3","17.8","16.5","15.5","14.6","13.7","12.9","12","11.1","10.2","9.3","8.6","8.1","7.7","7.4","",
"Andorra","AND","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7027409250237","28.6076337044198","28.5190686004903","28.4050743349171","28.2171687050372","27.9896273979464","27.7449362060718","27.3838016265093","26.9342494787942","26.4274514525752","25.8384148918334","25.0610812306329","24.2624520502393","23.4764813973553","22.7420129969421","22.1367592007137","21.592989885196","21.1099281838051","20.6646352769683","20.3095640267461","20.0604563723336","20.001127923872","20.1337885418716","20.2952029443247","20.4560254679407","",
"United Arab Emirates","ARE","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Prevalence of stunting, height for age (modeled estimate, % of children under 5)","SH.STA.STNT.ME.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","9","8.8","8.6","8.3","7.9","7.6","7.4","7.2","7.1","7","7","7","7.2","7.5","7.6","7.9","8.1","8.2","8.4","8.8","9.3","9.8","10.2","10.7","",
